Application ID,Updated Application ID No Dash,Final Verified S64(1),Final Verified S64(1) Flat,Final Verified S64(2),Final Verified S64(2) Flat,SIR Obligations
EX/1,EX1,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/10,EX10,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/100,EX100,"if the notified polymer is introduced in a chemical form that does not meet the PLC criteria.
the notified polymer is introduced in a form other than small beads.","if the notified polymer is introduced in a chemical form that does not meet the PLC criteria.
the notified polymer is introduced in a form other than small beads.","the function or use of the notified polymer has changed from component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased from 310 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased from 310 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/101,EX101,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a detergent in engine oils, or is likely to change significantly
the amount of notified polymer being introduced has increased from 45 tonnes, or is likely to increase, significantly 
if the notified polymer has begun to be manufactured in Australia 
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a detergent in engine oils, or is likely to change significantly
the amount of notified polymer being introduced has increased from 45 tonnes, or is likely to increase, significantly 
if the notified polymer has begun to be manufactured in Australia 
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/102,EX102,"if any atmospheric monitoring data for spray application becomes available
any health surveillance data for the notified chemical/analogue chemical becomes available","if any atmospheric monitoring data for spray application becomes available
any health surveillance data for the notified chemical/analogue chemical becomes available",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/103,EX103,"if any atmospheric monitoring data for spray application becomes available.any health surveillance data for the notified chemical becomes available","if any atmospheric monitoring data for spray application becomes available.any health surveillance data for the notified chemical becomes available",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/105,EX105,"if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly","if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/106,EX106,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/107,EX107,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a lubricant component in engine oil at < 10% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 20,000 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a lubricant component in engine oil at < 10% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 20,000 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/108,EX108,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/109,EX109,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/11,EX11,"the notified polymer is introduced in a chemical form that does not meet the PLC
criteria","the notified polymer is introduced in a chemical form that does not meet the PLC
criteria",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/113,EX113,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/114,EX114,"if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly.","if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly.","the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/115,EX115,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/116,EX116,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise.,if any of the circumstances listed in the subsection arise.,
EX/117,EX117,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from ingredient in personal care products, or is likely to change significantly;
? the amount of chemical being introduced has increased from 33 tonnes, or is likely to increase, significantly;
? if the chemical has begun to be manufactured in Australia;
? additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from ingredient in personal care products, or is likely to change significantly;
? the amount of chemical being introduced has increased from 33 tonnes, or is likely to increase, significantly;
? if the chemical has begun to be manufactured in Australia;
? additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/118,EX118,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from marine engine oils, or is likely to change significantly;
? the amount of chemical being introduced has increased from 100 tonnes per annum, or is likely to increase, significantly;
? the chemical has begun to be manufactured in Australia;
? additional information has become available as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from marine engine oils, or is likely to change significantly;
? the amount of chemical being introduced has increased from 100 tonnes per annum, or is likely to increase, significantly;
? the chemical has begun to be manufactured in Australia;
? additional information has become available as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/119,EX119,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from marine engine oils, or is likely to change significantly;
? the amount of chemical being introduced has increased from 100 tonnes per annum, or is likely to increase, significantly;
? the chemical has begun to be manufactured in Australia;
? additional information has become available as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from marine engine oils, or is likely to change significantly;
? the amount of chemical being introduced has increased from 100 tonnes per annum, or is likely to increase, significantly;
? the chemical has begun to be manufactured in Australia;
? additional information has become available as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/12,EX12,No Section 64(1) condition listed,No Section 64(1) condition listed,ifanyofthecircumstanceslistedinthesubsectionarise,ifanyofthecircumstanceslistedinthesubsectionarise,
EX/120,EX120,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from a skin colouring ingredient or is likely to change significantly
the amount of chemical being introduced has increased from 3.25 tonnes, or is likely to increase, significantly
the amount of chemical in finished cosmetic products exceeds 5.0%
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a skin colouring ingredient or is likely to change significantly
the amount of chemical being introduced has increased from 3.25 tonnes, or is likely to increase, significantly
the amount of chemical in finished cosmetic products exceeds 5.0%
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/121,EX121,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/122,EX122,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a paraffin dispersing agent for diesel fuel, or is likely to change significantly;
? the amount of notified polymer being introduced has increased, or is likely to increase, significantly;
? the notified polymer has begun to be manufactured in Australia;
? additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a paraffin dispersing agent for diesel fuel, or is likely to change significantly;
? the amount of notified polymer being introduced has increased, or is likely to increase, significantly;
? the notified polymer has begun to be manufactured in Australia;
? additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/123,EX123,"the polymer has a number-average molecular weight of less than 1,000
the polymer is introduced in any other form other than a component of diesel fuel","the polymer has a number-average molecular weight of less than 1,000
the polymer is introduced in any other form other than a component of diesel fuel","the function or use of the chemical has changed from a cold flow improver for the petroleum industry, or is likely to change significantly
the amount of chemical being introduced has increased from 70 tonnes per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from a cold flow improver for the petroleum industry, or is likely to change significantly
the amount of chemical being introduced has increased from 70 tonnes per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/124,EX124,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/125,EX125,"the polymer has a number-average molecular weight of less than 1,000
if imported in any form other than in solution","the polymer has a number-average molecular weight of less than 1,000
if imported in any form other than in solution","the function or use of the polymer has changed from a component of industrial coatings and printing inks, or is likely to change significantly
the amount of polymer being introduced has increased from 10 tonnes, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment.","the function or use of the polymer has changed from a component of industrial coatings and printing inks, or is likely to change significantly
the amount of polymer being introduced has increased from 10 tonnes, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment.",
EX/126,EX126,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a lubricant component in engine oil at < 10% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 20,000 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a lubricant component in engine oil at < 10% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 20,000 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/127,EX127,If the notified chemical will be present at a concentration of ? 1% w/w in products available to the public,If the notified chemical will be present at a concentration of ? 1% w/w in products available to the public,"the function or use of the chemical has changed from an antiwear additive for use in transmission fluids at a concentration of < 1%, or is likely to change significantly
the amount of chemical being introduced has increased from 100 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from an antiwear additive for use in transmission fluids at a concentration of < 1%, or is likely to change significantly
the amount of chemical being introduced has increased from 100 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/128,EX128,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/129,EX129,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical,"the function or use of the chemical has changed from as a component of a finished cosmetic mouthwash at a concentration of < 0.05%, or is likely to change significantly
the amount of chemical being introduced has increased from 1 tonne per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from as a component of a finished cosmetic mouthwash at a concentration of < 0.05%, or is likely to change significantly
the amount of chemical being introduced has increased from 1 tonne per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/13,EX13,if the uses proposed would lead to greater contamination of the aquatic compartment,if the uses proposed would lead to greater contamination of the aquatic compartment,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/130,EX130,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical,"the function or use of the chemical has changed from use in washoff products at maximum 5%, or is likely to change significantly. In this case additional toxicological data will be required including percutaneous absorption and further relevant genotoxicity testing.
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
if any regulatory action concerning the notified chemical occurs in other jurisdictions.","the function or use of the chemical has changed from use in washoff products at maximum 5%, or is likely to change significantly. In this case additional toxicological data will be required including percutaneous absorption and further relevant genotoxicity testing.
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
if any regulatory action concerning the notified chemical occurs in other jurisdictions.",
EX/131,EX131,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of chemical being introduced has increased to more than 40 tonnes per annum, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of chemical being introduced has increased to more than 40 tonnes per annum, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
