Assessment ID,Extracted use,Persistence Tag,Perfluoro Tag
EX1,"The notified chemical will be used as a component of a formulation, for application by rotary spray or roller to leather. It is also to be used as a component of �finishing mixes� containing other ingredients such as water, pigments, waxes, wetting agents, fillers and pigment extenders. The finishing mixes are prepared at the sites where they will be used. It is expected that there will be 1 to 4 users (two are confirmed) of the notified chemical.",,
EX10,"It is a thickener for surfactant
based formulations such as hair dyes and shampoos.",,
EX100,Coating component,,
EX101,The notified polymer is used as detergent in passenger car and heavy-duty engine oils.,,
EX102,"Amino functional reactive thinner for low VOC, one or two component polyurethane/urea paint systems for maintenance, automotive and light industrial applications.","The bioaccumulation potential was not determined.  The substance is not expected to be persistent in the environment on the basis that the analogue chemical showed some degree of biodegradability (13% in 28 days). Furthermore, the ester groups are prone to hydrolysis (refer to hydrolysis as function of pH test).  Thus, while the test substance has a calculated Log Pow at 20°C = 6.55, when the esters are hydrolysed, the chemical would be less lipophilic and not expected to bioaccumulate, particularly given the expected low aquatic exposure.",
EX103,"The notified chemical is an amino functional reactive thinner for low volatile organic compound (VOC) two component polyurethane/urea paint systems for maintenance, automotive and light industrial applications.","The bioaccumulation potential was not determined.  The substance is not expected to be persistent in the environment on the basis that it showed some degree of biodegradability (13% in 28 days). Furthermore, the ester groups are prone to hydrolysis (refer to hydrolysis as function of pH test).  Thus, while the notified chemical has a calculated Log Pow at 20°C = 6.4, when the esters are hydrolysed, the chemical would be less lipophilic and not expected to bioaccumulate, particularly given the expected low aquatic exposure.",
EX105,The notified chemical is a lubricant additive for use in automotive transmission fluids at concentration 0.1 to 2.5%.,,
EX106,The notified chemical will not be manufactured in Australia. It will initially be imported as a component of finished automotive transmission fluid (ATF) at concentrations of <1%. It is possible that additive concentrate containing 1-10% of the notified chemical will be imported for further formulation in Australia.,,
EX107, The notified polymer functions as a lubricant additive component and is used together with other components to formulate engine oil.  It is present at concentrations at < 10% in engine oil.,,
EX108,The notified polymer is used as detergent in passenger car and heavy-duty diesel engine oils.,,
EX109,"The notified chemical will be used as a detergent additive at 1-5% concentration in lubricants for automotive and diesel engine crankcase oils, air and water-cooled two-cycle engine oils, industrial oils, hydraulic fluids and gear oils.",,
EX113,The notified polymer is a cold flow additive for use in diesel fuels. It improves the operability of diesel engines in cold weather by modifying the shape of the precipitating wax crystals in diesel fuel.  The notified polymer is a gel at ambient temperature and as such it is distributed with additional solvents to improve its flow characteristics.,,
EX114,The notified chemical is a lubricant additive for use in automotive transmission fluids at concentration 0.1 to 2.5%.,,
EX115,"The notified chemical is a friction modifier for use in the lubricant additive industry, primarily as automatic transmission fluids (ATF).",,
EX116,The notified chemical will be used as an additive for polyethylene to make plastic articles.,,
EX117, Component of shampoos and body washes at up to 8%.  The polymer will function as an emulsifier and viscosity improver.,,
EX118,"Lubricant oils containing the notified chemical will be used to lubricate marine engines. When used in stationary engines, routine lubrication is likely to use dedicated lubricating oil reservoirs and piping to add fluids directly. When used in non-stationary marine applications, workers are likely to manually check the engine lubricant levels and additional fluid will be added using pneumatic delivery equipment.",,
EX119,"Lubricant oils containing the notified chemical will be used to lubricate marine engines. When used in stationary engines, routine lubrication is likely to use dedicated lubricating oil reservoirs and piping to add fluids directly. When used in non-stationary marine applications, workers are likely to manually check the engine lubricant levels and additional fluid will be added using pneumatic delivery equipment.",,
EX12,"The chemical will be used as a monomer in the production of polyester resins for gel coats and coatings, polymer modifiers and/or additives, synthetic lubricants, corrosion inhibitors and other ester products.",,
EX120,The notified chemical is used in cosmetic skin products at < 5.0% as a skin colouring ingredient.,,
